commune_name,commune_name_ar,old_wilaya_code,new_wilaya_code,new_wilaya_name,gazette_name
Aflou,أفلو,3,59,Aflou,
Gueltat Sidi Saad,قلتة سيدي سعد,3,59,Aflou,
Ain Sidi Ali,عين سيدي علي,3,59,Aflou,
El Beidha,البيضاء,3,59,Aflou,
Brida,بريدة,3,59,Aflou,
El Ghicha,الغيشة,3,59,Aflou,
Hadj Mechri,الحاج مشري,3,59,Aflou,
Sebgag,سبقاق,3,59,Aflou,
Taouiala,تاويالة,3,59,Aflou,
Oued Morra,وادي مرة,3,59,Aflou,
Oued M'Zi,وادي مزي,3,59,Aflou,
Sidi Bouzid,سيدي بوزيد,3,59,Aflou,
Barika,بريكة,5,60,Barika,
Bitam,بيطام,5,60,Barika,
Azil Abedelkader,عزيل عبد القادر,5,60,Barika,Abdelkader Azil
Tilatou,تيلاطو,5,60,Barika,
Seggana,سقانة,5,60,Barika,
Djezzar,الجزار,5,60,Barika,
M Doukal,إمدوكل,5,60,Barika,
Ouled Ammar,أولاد عمار,5,60,Barika,
El Kantara,القنطرة,7,61,El Kantara,
Ain Zaatout,عين زعطوط,7,61,El Kantara,
Branis,برانيس,7,61,El Kantara,
El Outaya,الوطاية,7,61,El Kantara,
Djemorah,جمورة,7,61,El Kantara,Djemourah
Bir-El-Ater,بئر العاتر,12,62,Bir El Ater,
Negrine,نقرين,12,62,Bir El Ater,
El Ogla El Malha,العقلة المالحة,12,62,Bir El Ater,El Ogla El Melha
Ferkane,فركان,12,62,Bir El Ater,
El Aricha,العريشة,13,63,El Aricha,
El Gor,القور,13,63,El Aricha,
Sidi Djillali,سيدي الجيلالي,13,63,El Aricha,
Bouihi,البويهي,13,63,El Aricha,El Bouihi
Ksar Chellala,قصر الشلالة,14,64,Ksar Chellala,
Zmalet El Emir Abdelkade,زمالة  الأمير عبد القادر,14,64,Ksar Chellala,Zmalet El Emir Abdelkader
Rechaiga,الرشايقة,14,64,Ksar Chellala,
Hamadia,حمادية,14,64,Ksar Chellala,
Serghine,سرغين,14,64,Ksar Chellala,Serguine
Bougara,بوقرة,14,64,Ksar Chellala,
Ain Oussera,عين وسارة,17,65,Aïn Ouessara,Aïn Ouessara
Birine,بيرين,17,65,Aïn Ouessara,
Bouira Lahdab,بويرة الأحداب,17,65,Aïn Ouessara,
El Khemis,الخميس,17,65,Aïn Ouessara,
Sidi Laadjel,سيدي لعجال,17,65,Aïn Ouessara,Sidi Ladjel
Had Sahary,حد الصحاري,17,65,Aïn Ouessara,
Guernini,قرنيني,17,65,Aïn Ouessara,
Benhar,بنهار,17,65,Aïn Ouessara,
Hassi Fedoul,حاسي فدول,17,65,Aïn Ouessara,
Ain Fekka,عين فقه,17,65,Aïn Ouessara,
Messaad,مسعد,17,66,Messaad,
Sed Rahal,سد الرحال,17,66,Messaad,
Faidh El Botma,فيض البطمة,17,66,Messaad,
Guettara,قطارة,17,66,Messaad,
Selmana,سلمانة,17,66,Messaad,
Oum Laadham,أم العظام,17,66,Messaad,
Deldoul,دلدول,17,66,Messaad,
Amourah,عمورة,17,66,Messaad,
Ksar El Boukhari,قصر البخاري,26,67,Ksar El Boukhari,
Ouled Emaaraf,أولاد امعرف,26,67,Ksar El Boukhari,Ouled Maaref
Ain Boucif,عين بوسيف,26,67,Ksar El Boukhari,
Derrag,دراق,26,67,Ksar El Boukhari,
Bouaiche,بوعيش,26,67,Ksar El Boukhari,
Kef Lakhdar,الكاف الاخضر,26,67,Ksar El Boukhari,
Chelalet El Adhaoura,شلالة العذاورة,26,67,Ksar El Boukhari,
Ouled Hellal,أولاد هلال,26,67,Ksar El Boukhari,
Tafraout,تفراوت,26,67,Ksar El Boukhari,
Boghar,بوغار,26,67,Ksar El Boukhari,
Sidi Demed,سيدي دامد,26,67,Ksar El Boukhari,Sidi Damed
Aziz,عزيز,26,67,Ksar El Boukhari,
Chabounia,الشهبونية,26,67,Ksar El Boukhari,Chahbounia
Cheniguel,شنيقل,26,67,Ksar El Boukhari,
Ain Ouksir,عين اقصير,26,67,Ksar El Boukhari,
Oum El Djellil,أم الجليل,26,67,Ksar El Boukhari,Oum El Djallil
M'fatha,مفاتحة,26,67,Ksar El Boukhari,
Boughzoul,بوغزول,26,67,Ksar El Boukhari,Boughezoul
El Ouinet,العوينات,26,67,Ksar El Boukhari,
Ouled Antar,أولاد عنتر,26,67,Ksar El Boukhari,
Saneg,السانق,26,67,Ksar El Boukhari,
Bou Saada,بوسعادة,28,68,Bou Saâda,
Khoubana,خبانة,28,68,Bou Saâda,
M'Cif,مسيف,28,68,Bou Saâda,
Ouled Sidi Brahim,أولاد سيدي ابراهيم,28,68,Bou Saâda,
Sidi Ameur,سيدي عامر,28,68,Bou Saâda,
Tamsa,تامسة,28,68,Bou Saâda,
Ben Srour,بن سرور,28,68,Bou Saâda,
Ouled Slimane,أولاد سليمان,28,68,Bou Saâda,
El Houamed,الحوامد,28,68,Bou Saâda,
El Hamel,الهامل,28,68,Bou Saâda,
Zarzour,زرزور,28,68,Bou Saâda,
Mohamed Boudiaf,محمد بوضياف,28,68,Bou Saâda,Mouhamed Boudiaf
Benzouh,بن زوه,28,68,Bou Saâda,
Bir Foda,بئر فضة,28,68,Bou Saâda,
Ain Fares,عين فارس,28,68,Bou Saâda,
Sidi M'Hamed,سيدي امحمد,28,68,Bou Saâda,
Menaa,مناعة,28,68,Bou Saâda,
Ain El Melh,عين الملح,28,68,Bou Saâda,Aïn El Meleh
Medjedel,امجدل,28,68,Bou Saâda,
Slim,سليم,28,68,Bou Saâda,
Ain Rich,عين الريش,28,68,Bou Saâda,Aïn Errich
Oulteme,ولتام,28,68,Bou Saâda,Oultem
Djebel Messaad,جبل مساعد,28,68,Bou Saâda,
Labiodh Sidi Cheikh,الأبيض سيدي الشيخ,32,69,El Abiodh Sidi Cheikh,El Abiodh Sidi Cheikh
Aïn El Orak,عين العراك,32,69,El Abiodh Sidi Cheikh,
Arbaouat,اربوات,32,69,El Abiodh Sidi Cheikh,
Boussemghoun,بوسمغون,32,69,El Abiodh Sidi Cheikh,
Chellala,شلالة,32,69,El Abiodh Sidi Cheikh,
El Bnoud,البنود,32,69,El Abiodh Sidi Cheikh,
El Mehara,المحرة,32,69,El Abiodh Sidi Cheikh,El Meharra
